"우리WON뱅킹 오픈LOL 리그 확인용 로스터
갱신 날짜 : 22.10.24. 15:17",,,,,,,,
,,,,,,,,
팀명,팀장 닉네임,팀원1 닉네임,팀원2 닉네임,팀원3 닉네임,팀원4 닉네임,팀원5 닉네임,팀원6 닉네임,팀원7 닉네임
17년도,mmark,BsK1Kaus,헬 령,padarg,김민규04,강 네,,
1승하고서렌함,성수미니미,최범근새끼,기능인푸용,O000OO000O0OO00O,문홍근,부먹지코민초던파,,
5 Master,go ward me carry,러미리선생님,사나이송지원,,,,,
5265탈두모창47,차설화,역곡동균열생성기,LNGAle,동글랑땡,슈퍼캡틴티모,,,
BJ 망치부인,펍지고수,bj 망치부인,갓상오,우디르가야hao,보내균,,,
Cookies,LoveabIe,done ad,블루배리치즈케익,시간여행,wqybxcc123ead,,,
cwg충원고,CWG대표정글러,충원 왕자님,CGW odmix,꿀벌대구,내가제일잘생겼어,,,
DMT,하야로비,DMT scale,트와이스 지효 팬,독을품은티모,FlameJR,아린 팬,DMT Psyche,
GEEA,시작중간끝,glow,amogus,그마가고싶어요1,캐리두,HatDae,,
HEYS,일 서,잡지마염,상쾌한콜라,세척머슴,코광국,모두진실의방으로,,
Human Error,,으앙내눈,책속의풍경,건축을 묻다,내이름은소환사,,,
IGT GAMING,박정빈95,클템식플레이,내꿈은 정상길,울고웃다,czca,아니요탑인데요,,
Keetop2,ertr,밝은순록,혜자도구,점화가 날 억까해,말대꾸하지마라숟,,,
KNU,겸둥이나람,살아있는 참치,오마이걸배유빈팬,날 라칸 다,,,,
MISSILE GAMING,지면날욕하세요,지민지창욱지성일,정휘인집사,la vie en angel,20040831,,,
Muto,T1 Keria Fans,,,,,,,
OPGG WON,나이스보트,서폿 존중 배려,Romg2,용인기흥구신재규,보여줘영훈,,,
Orange,Nakwon,헨수,재원귀환,Ktkdrbs,리쉬하기싫은사람,,,
Rat,싱싱한콜라,,,,,,,
SCAITRX,greencnc,정 글 케 넨,uous,지아니안,잉여몬몬,,,
SDG,곽필범,요들의숲,차차가필요해,아프니깐말로하자,,,,
skzzang,김서겸,,,,,,,
STRIKE,무서운고기,kkjjoohh12,한국원,깐부끼리뭉쳐야지,렝가하는초달,,,
Uprising,Akapas,림루키,최 창 용,박보영 Fan,섹시가이대히,,,
가나다라마바사,EPG coach,gengharrpoo,DWG NT,미드가는 아우렐,김말이튀김,,,
가족크,고삼끝난수능,정묭희,때재앙,육군필자,인스타oxxooi,,,
강남구청 방범대,병만잡는병만이,유잼준,Unbreakable Wall,아 고민된다 하,alsdkalstkfkdgo,,,
강행하자1,이불안검은고양이,타인의견유시,점화그브,미드열심히하는ID,맞고보니수면,,,
건강하개,더필라,첫갱은미드로,쿤이아비,매운맛탕,묵언수행중이얌,균열의수호자,외팔의범범,
경공전자,마이칼픽,달달냠냠,온라인보스,,,,,
김민건과아이들,,김히승,앙 달콤해,티모서폿원챔,,,,
김천개발팀,hair o the dog,Leonatop,임 촹,팟 브,한구버거,,,
너구리 솔킬땀,Lucky WhaleShark,현주입니다,JUGGOD l2,급하게하지마요,IlIlIIIIIllIlll,Nyew,,
다이겨주마,남기백,하남자특제드함,팔자꼬인사람,응가하는잠만보,최형준 부캐,듀오하실분친추요,,
